order,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,poc,note,reference_url,voice,race_reflected
489,2395427,Avengers: Age of Ultron,Steve Rogers,4,Chris Evans,262635,http://s3.amazonaws.com/brianfoo_art/hollywood/262635.jpg,m,w,0,"Chris's father is of half German and half Welsh/English/Scottish ancestry, while Chris's mother is of half Italian and half Irish descent",http://www.imdb.com/name/nm0262635/bio,0,-1
251,800369,Thor,Thor,1,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,0,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0,-1
349,848228,Marvel's The Avengers,Thor,4,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,0,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0,-1
487,2395427,Avengers: Age of Ultron,Thor,2,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,0,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0,-1
166,796366,Star Trek,Kirk,1,Chris Pine,1517976,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1517976.jpg,m,w,0,"Russian Jewish (from his maternal grandfather), English, German, Welsh, and French",http://www.imdb.com/name/nm1517976/bio,0,-1
426,1490017,The LEGO Movie,Emmet Brickowoski,1,Chris Pratt,695435,http://s3.amazonaws.com/brianfoo_art/hollywood/695435.jpg,m,w,0,"His mother is of Norwegian descent and his father had English, German, Swiss, and French-Canadian ancestry",http://www.imdb.com/name/nm0695435/bio,1,0
436,2015381,Guardians of the Galaxy,Peter Quill,1,Chris Pratt,695435,http://s3.amazonaws.com/brianfoo_art/hollywood/695435.jpg,m,w,0,"His mother is of Norwegian descent and his father had English, German, Swiss, and French-Canadian ancestry",http://www.imdb.com/name/nm0695435/bio,0,-1
491,369610,Jurassic World,Owen,1,Chris Pratt,695435,http://s3.amazonaws.com/brianfoo_art/hollywood/695435.jpg,m,w,0,"His mother is of Norwegian descent and his father had English, German, Swiss, and French-Canadian ancestry",http://www.imdb.com/name/nm0695435/bio,0,-1
146,468569,The Dark Knight,Bruce Wayne,1,Christian Bale,288,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/288.jpg,m,w,0,English,http://www.imdb.com/name/nm0000288/bio,0,-1
341,1345836,The Dark Knight Rises,Bruce Wayne,1,Christian Bale,288,http://s3.amazonaws.com/brianfoo_art/hollywood/288.jpg,m,w,0,English,http://www.imdb.com/name/nm0000288/bio,0,-1
452,2379713,Spectre,Blofeld,2,Christoph Waltz,910607,http://s3.amazonaws.com/brianfoo_art/hollywood/910607.jpg,m,w,0,"German, Austrian, Viennese",http://www.imdb.com/name/nm0910607/bio,0,-1
178,1049413,Up,Charles Muntz,3,Christopher Plummer,1626,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1626.jpg,m,w,0,"English, Scottish, and Anglo-Irish",http://www.imdb.com/name/nm0001626/bio,1,1
208,892769,How to Train Your Dragon,Gobber,3,Craig Ferguson,272401,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/272401.jpg,m,w,0,Scottish,https://en.wikipedia.org/wiki/Craig_Ferguson,1,1
245,1014759,Alice in Wonderland (2010),Stayne - Knave of Hearts,5,Crispin Glover,417,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/417.jpg,m,w,0,"English, Czech, German and Swedish",http://www.imdb.com/name/nm0000417/bio,0,-1
496,2488496,Star Wars: The Force Awakens,Rey,1,Daisy Ridley,5397459,http://s3.amazonaws.com/brianfoo_art/hollywood/5397459.jpg,f,w,0,,,0,-1
6,381061,Casino Royale,James Bond,1,Daniel Craig,185819,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/185819.jpg,m,w,0,"English, as well as Welsh, Scottish, and Irish",http://www.imdb.com/name/nm0185819/bio,0,-1
106,830515,Quantum of Solace,James Bond,1,Daniel Craig,185819,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/185819.jpg,m,w,0,"English, as well as Welsh, Scottish, and Irish",http://www.imdb.com/name/nm0185819/bio,0,-1
331,1074638,Skyfall,James Bond,1,Daniel Craig,185819,http://s3.amazonaws.com/brianfoo_art/hollywood/185819.jpg,m,w,0,"English, as well as Welsh, Scottish, and Irish",http://www.imdb.com/name/nm0185819/bio,0,-1
