movie_id,movie_name,movie_imdb_id,role,order,name,imdb_id,img,gender,races,note,reference_url,voice
15,The Twilight Saga: Breaking Dawn Part 2,1673434,cast,1,Kristen Stewart,829576,http://s3.amazonaws.com/brianfoo_art/hollywood/829576.jpg,f,w,,,0
15,The Twilight Saga: Breaking Dawn Part 2,1673434,cast,2,Robert Pattinson,1500155,http://s3.amazonaws.com/brianfoo_art/hollywood/1500155.jpg,m,w,,,0
15,The Twilight Saga: Breaking Dawn Part 2,1673434,cast,3,Taylor Lautner,1210124,http://s3.amazonaws.com/brianfoo_art/hollywood/1210124.jpg,m,w,"Austrian, English, German, Swiss-German, French, Irish, and Dutch",http://www.imdb.com/name/nm1210124/bio,0
15,The Twilight Saga: Breaking Dawn Part 2,1673434,cast,4,Peter Facinelli,4906,http://s3.amazonaws.com/brianfoo_art/hollywood/4906.jpg,m,w,Italian,http://www.imdb.com/name/nm0004906/bio,0
15,The Twilight Saga: Breaking Dawn Part 2,1673434,cast,5,Elizabeth Reaser,714147,http://s3.amazonaws.com/brianfoo_art/hollywood/714147.jpg,f,w,"German, Swedish, English, Irish, and Scottish",http://www.imdb.com/name/nm0714147/bio,0
16,The Hobbit: An Unexpected Journey,903624,cast,1,Ian McKellen,5212,http://s3.amazonaws.com/brianfoo_art/hollywood/5212.jpg,m,w,"Scottish, Northern Irish, and English",http://www.imdb.com/name/nm0005212/bio,0
16,The Hobbit: An Unexpected Journey,903624,cast,2,Martin Freeman,293509,http://s3.amazonaws.com/brianfoo_art/hollywood/293509.jpg,m,w,English and Irish,http://www.imdb.com/name/nm0293509/bio,0
16,The Hobbit: An Unexpected Journey,903624,cast,3,Richard Armitage,35514,http://s3.amazonaws.com/brianfoo_art/hollywood/35514.jpg,m,w,,,0
16,The Hobbit: An Unexpected Journey,903624,cast,4,Ken Stott,832792,http://s3.amazonaws.com/brianfoo_art/hollywood/832792.jpg,m,w,His father was Scottish and his mother was Sicilian,http://www.imdb.com/name/nm0832792/bio,0
16,The Hobbit: An Unexpected Journey,903624,cast,5,Graham McTavish,574615,http://s3.amazonaws.com/brianfoo_art/hollywood/574615.jpg,m,w,Scottish,http://www.imdb.com/name/nm0574615/bio,0
17,Skyfall,1074638,cast,1,Daniel Craig,185819,http://s3.amazonaws.com/brianfoo_art/hollywood/185819.jpg,m,w,"English, as well as Welsh, Scottish, and Irish",http://www.imdb.com/name/nm0185819/bio,0
17,Skyfall,1074638,cast,2,Judi Dench,1132,http://s3.amazonaws.com/brianfoo_art/hollywood/1132.jpg,f,w,Irish,https://en.wikipedia.org/wiki/Category:British_people_of_Irish_descent,0
17,Skyfall,1074638,cast,3,Javier Bardem,849,http://s3.amazonaws.com/brianfoo_art/hollywood/849.jpg,m,h,Spanish,http://www.imdb.com/name/nm0000849/bio,0
17,Skyfall,1074638,cast,4,Ralph Fiennes,146,http://s3.amazonaws.com/brianfoo_art/hollywood/146.jpg,m,w,"He is of English, Irish, and Scottish origin",http://www.imdb.com/name/nm0000146/bio,0
17,Skyfall,1074638,cast,5,Naomie Harris,365140,http://s3.amazonaws.com/brianfoo_art/hollywood/365140.jpg,f,b,Her father is from Jamaica and her mother is from Trinidad,http://www.imdb.com/name/nm0365140/bio,0
18,The Hunger Games,1392170,cast,1,Jennifer Lawrence,2225369,http://s3.amazonaws.com/brianfoo_art/hollywood/2225369.jpg,f,w,"English, German, Irish, and Scottish",http://www.imdb.com/name/nm2225369/bio,0
18,The Hunger Games,1392170,cast,2,Josh Hutcherson,1242688,http://s3.amazonaws.com/brianfoo_art/hollywood/1242688.jpg,m,w," English, as well as Scottish, German, and distant Irish and French",http://www.imdb.com/name/nm1242688/bio,0
18,The Hunger Games,1392170,cast,3,Liam Hemsworth,2955013,http://s3.amazonaws.com/brianfoo_art/hollywood/2955013.jpg,m,w,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm2955013/bio,0
18,The Hunger Games,1392170,cast,4,Woody Harrelson,437,http://s3.amazonaws.com/brianfoo_art/hollywood/437.jpg,m,w,"English, Scottish, German, and distant Dutch and Welsh",http://www.imdb.com/name/nm0000437/bio,0
18,The Hunger Games,1392170,cast,5,Elizabeth Banks,6969,http://s3.amazonaws.com/brianfoo_art/hollywood/6969.jpg,f,w,"English, Irish, Scottish, and more distant Dutch",http://www.imdb.com/name/nm0006969/bio,0
19,The Dark Knight Rises,1345836,cast,1,Christian Bale,288,http://s3.amazonaws.com/brianfoo_art/hollywood/288.jpg,m,w,English,http://www.imdb.com/name/nm0000288/bio,0
19,The Dark Knight Rises,1345836,cast,2,Gary Oldman,198,http://s3.amazonaws.com/brianfoo_art/hollywood/198.jpg,m,w,"English, with a smaller amount of Irish",http://www.imdb.com/name/nm0000198/bio,0
19,The Dark Knight Rises,1345836,cast,3,Tom Hardy,362766,http://s3.amazonaws.com/brianfoo_art/hollywood/362766.jpg,m,w,English and Irish,http://www.imdb.com/name/nm0362766/bio,0
19,The Dark Knight Rises,1345836,cast,4,Joseph Gordon-Levitt,330687,http://s3.amazonaws.com/brianfoo_art/hollywood/330687.jpg,m,w,"Russian, Lithuanian, Romanian, Polish Jewish",http://www.imdb.com/name/nm0330687/bio,0
19,The Dark Knight Rises,1345836,cast,5,Anne Hathaway,4266,http://s3.amazonaws.com/brianfoo_art/hollywood/4266.jpg,f,w,"mostly Irish descent, along with English, German, and French",http://www.imdb.com/name/nm0004266/bio,0
20,Marvel's The Avengers,848228,cast,1,Robert Downey Jr.,375,http://s3.amazonaws.com/brianfoo_art/hollywood/375.jpg,m,w,"Robert's father is of half Lithuanian Jewish, one quarter Hungarian Jewish, and one quarter Irish, descent, while Robert's mother was of English, Scottish, German, and Swiss-German",http://www.imdb.com/name/nm0000375/bio,0
20,Marvel's The Avengers,848228,cast,2,Chris Evans,262635,http://s3.amazonaws.com/brianfoo_art/hollywood/262635.jpg,m,w,"Chris's father is of half German and half Welsh/English/Scottish ancestry, while Chris's mother is of half Italian and half Irish descent",http://www.imdb.com/name/nm0262635/bio,0
20,Marvel's The Avengers,848228,cast,3,Mark Ruffalo,749263,http://s3.amazonaws.com/brianfoo_art/hollywood/749263.jpg,m,w,"His father's ancestry is Italian, and his mother is of half French-Canadian and half Italian descent",http://www.imdb.com/name/nm0749263/bio,0
20,Marvel's The Avengers,848228,cast,4,Chris Hemsworth,1165110,http://s3.amazonaws.com/brianfoo_art/hollywood/1165110.jpg,m,w,"Dutch (from his immigrant maternal grandfather), Irish, English, Scottish, and German",http://www.imdb.com/name/nm1165110/bio,0
20,Marvel's The Avengers,848228,cast,5,Scarlett Johansson,424060,http://s3.amazonaws.com/brianfoo_art/hollywood/424060.jpg,f,w,"Ashkenazi Jewish, Danish",http://www.imdb.com/name/nm0424060/bio,0
21,Oz The Great and Powerful,1623205,cast,1,James Franco,290556,http://s3.amazonaws.com/brianfoo_art/hollywood/290556.jpg,m,w,"His father was of half Portuguese and half Swedish descent. His mother is from an Ashkenazi Jewish family (from Russia, Germany, Poland, and Lithuania).",http://www.imdb.com/name/nm0290556/bio,0
21,Oz The Great and Powerful,1623205,cast,2,Mila Kunis,5109,http://s3.amazonaws.com/brianfoo_art/hollywood/5109.jpg,f,w,Ashkenazi Jewish,http://www.imdb.com/name/nm0005109/bio,0
21,Oz The Great and Powerful,1623205,cast,3,Rachel Weisz,1838,http://s3.amazonaws.com/brianfoo_art/hollywood/1838.jpg,f,w,"Her father is a Hungarian Jewish immigrant, and her Austrian-born mother, who left Vienna in the 1930s, is of Italian and Austrian Jewish heritage",http://www.imdb.com/name/nm0001838/bio,0
21,Oz The Great and Powerful,1623205,cast,4,Michelle Williams,931329,http://s3.amazonaws.com/brianfoo_art/hollywood/931329.jpg,f,w,"Norwegian, as well as German, English, Swedish, Swiss-German, Danish, Welsh, and Scottish",http://www.imdb.com/name/nm0931329/bio,0
21,Oz The Great and Powerful,1623205,cast,5,Zach Braff,103785,http://s3.amazonaws.com/brianfoo_art/hollywood/103785.jpg,m,w,His father is of Ashkenazi Jewish descent (from a family from Austria and Russia). His mother is from a family with English and Scottish ancestry,http://www.imdb.com/name/nm0103785/bio,1
22,Fast & Furious 6,1905041,cast,1,Vin Diesel,4874,http://s3.amazonaws.com/brianfoo_art/hollywood/4874.jpg,m,"w,b","Mother is English, German, Scottish, and Irish. Biological father's race not publicly known. Diesel identifies as person of color. Some sources say his biological father was African-American ",http://ethnicelebs.com/vin-diesel,0
22,Fast & Furious 6,1905041,cast,2,Paul Walker,908094,http://s3.amazonaws.com/brianfoo_art/hollywood/908094.jpg,m,w,English and German,http://www.imdb.com/name/nm0908094/bio,0
22,Fast & Furious 6,1905041,cast,3,Dwayne Johnson,425005,http://s3.amazonaws.com/brianfoo_art/hollywood/425005.jpg,m,"b,a","His father is black (of Black Nova Scotian descent), and his mother is of Samoan background",http://www.imdb.com/name/nm0425005/bio,0
22,Fast & Furious 6,1905041,cast,4,Jordana Brewster,108287,http://s3.amazonaws.com/brianfoo_art/hollywood/108287.jpg,f,"w,h",Mother is Brazilian; Father is English and Scottish; technically not hispanic; identifies as Latina,http://www.huffingtonpost.com/2012/06/13/dallas-star-jordana-brewster_n_1595303.html,0
22,Fast & Furious 6,1905041,cast,5,Michelle Rodriguez,735442,http://s3.amazonaws.com/brianfoo_art/hollywood/735442.jpg,f,h,Puerto Rican and Dominican,http://www.imdb.com/name/nm0735442/bio,0
23,The Hobbit: The Desolation of Smaug,1170358,cast,1,Ian McKellen,5212,http://s3.amazonaws.com/brianfoo_art/hollywood/5212.jpg,m,w,"Scottish, Northern Irish, and English",http://www.imdb.com/name/nm0005212/bio,0
23,The Hobbit: The Desolation of Smaug,1170358,cast,2,Martin Freeman,293509,http://s3.amazonaws.com/brianfoo_art/hollywood/293509.jpg,m,w,English and Irish,http://www.imdb.com/name/nm0293509/bio,0
23,The Hobbit: The Desolation of Smaug,1170358,cast,3,Richard Armitage,35514,http://s3.amazonaws.com/brianfoo_art/hollywood/35514.jpg,m,w,,,0
23,The Hobbit: The Desolation of Smaug,1170358,cast,4,Ken Stott,832792,http://s3.amazonaws.com/brianfoo_art/hollywood/832792.jpg,m,w,His father was Scottish and his mother was Sicilian,http://www.imdb.com/name/nm0832792/bio,0
23,The Hobbit: The Desolation of Smaug,1170358,cast,5,Graham McTavish,574615,http://s3.amazonaws.com/brianfoo_art/hollywood/574615.jpg,m,w,Scottish,http://www.imdb.com/name/nm0574615/bio,0
