artist,song,album,url,score
Jay Z,Stop,Unfinished Business,http://genius.com/Jay-z-stop-lyrics,5
Jay Z,The Prelude,Kingdom Come,http://genius.com/Jay-z-the-prelude-lyrics,5
Jay Z,U Don't Know (Remix),The Blueprint 2: The Gift & the Curse,http://genius.com/Jay-z-u-dont-know-remix-lyrics,5
Jay Z,Threat,The Black Album,http://genius.com/Jay-z-threat-lyrics,5
Jay Z,The Streets,The Best of Both Worlds,http://genius.com/Jay-z-the-streets-lyrics,5
Jay Z,Dope Man,Vol. 3... Life and Times of S. Carter,http://genius.com/Jay-z-dope-man-lyrics,4
Jay Z,Watch Me,Vol. 3... Life and Times of S. Carter,http://genius.com/Jay-z-watch-me-lyrics,4
Jay Z,There's Been a Murder,Vol. 3... Life and Times of S. Carter,http://genius.com/Jay-z-theres-been-a-murder-lyrics,4
Jay Z,A Week Ago,Vol. 2... Hard Knock Life,http://genius.com/Jay-z-a-week-ago-lyrics,4
Jay Z,Can I Get A...,Vol. 2... Hard Knock Life,http://genius.com/Jay-z-can-i-get-a-lyrics,4
Jay Z,The Return,Unfinished Business,http://genius.com/Jay-z-the-return-lyrics,4
Beyoncé,Broken Hearted Girl,I Am... Sasha Fierce,http://genius.com/Beyonce-broken-hearted-girl-lyrics,10
Beyoncé,Partition,Beyoncé,http://genius.com/Beyonce-partition-lyrics,9
Beyoncé,Poison,I Am... Sasha Fierce,http://genius.com/Beyonce-poison-lyrics,6
Beyoncé,Blow,Beyoncé,http://genius.com/Beyonce-blow-lyrics,5
Beyoncé,Blow Remix,Beyoncé,http://genius.com/Beyonce-blow-remix-lyrics,5
Beyoncé,Standing On The Sun Remix,Beyoncé,http://genius.com/Beyonce-standing-on-the-sun-remix-lyrics,5
Beyoncé,Scared of Lonely,I Am... Sasha Fierce,http://genius.com/Beyonce-scared-of-lonely-lyrics,4
Beyoncé,Haunted,Beyoncé,http://genius.com/Beyonce-haunted-lyrics,4
Beyoncé,Rocket,Beyoncé,http://genius.com/Beyonce-rocket-lyrics,4
Beyoncé,XO,Beyoncé,http://genius.com/Beyonce-xo-lyrics,4
Beyoncé,Drunk In Love (Remix),Beyoncé,http://genius.com/Beyonce-drunk-in-love-remix-lyrics,4
Beyoncé,End of Time,4,http://genius.com/Beyonce-end-of-time-lyrics,4
Beyoncé,Crazy in Love,Dangerously In Love,http://genius.com/Beyonce-crazy-in-love-lyrics,3
Beyoncé,Speechless,Dangerously In Love,http://genius.com/Beyonce-speechless-lyrics,3
Beyoncé,The Closer I Get To You,Dangerously In Love,http://genius.com/Beyonce-the-closer-i-get-to-you-lyrics,3
Beyoncé,Drunk In Love,Beyoncé,http://genius.com/Beyonce-drunk-in-love-lyrics,3
Beyoncé,Blue,Beyoncé,http://genius.com/Beyonce-blue-lyrics,3
Beyoncé,Ring Off,Beyoncé,http://genius.com/Beyonce-ring-off-lyrics,3
Beyoncé,Déjà Vu,B'Day,http://genius.com/Beyonce-deja-vu-lyrics,3
Beyoncé,Lost Yo Mind,B'Day,http://genius.com/Beyonce-lost-yo-mind-lyrics,3
Eminem,Drips,The Eminem Show,http://genius.com/Eminem-drips-lyrics,22
Eminem,Under the Influence,The Marshall Mathers LP,http://genius.com/Eminem-under-the-influence-lyrics,21
Eminem,Insane,Relapse,http://genius.com/Eminem-insane-lyrics,12
Eminem,Love Game,The Marshall Mathers LP 2,http://genius.com/Eminem-love-game-lyrics,11
Eminem,My 1st Single,Encore,http://genius.com/Eminem-my-1st-single-lyrics,11
Eminem,Won't Back Down,Recovery,http://genius.com/Eminem-wont-back-down-lyrics,10
Eminem,Session One,Recovery,http://genius.com/Eminem-session-one-lyrics,10
Eminem,Asshole,The Marshall Mathers LP 2,http://genius.com/Eminem-asshole-lyrics,10
Eminem,Ass Like That,Encore,http://genius.com/Eminem-ass-like-that-lyrics,10
Eminem,My Dad's Gone Crazy,The Eminem Show,http://genius.com/Eminem-my-dads-gone-crazy-lyrics,10
Eminem,Cold Wind Blows,Recovery,http://genius.com/Eminem-cold-wind-blows-lyrics,9
Eminem,Almost Famous,Recovery,http://genius.com/Eminem-almost-famous-lyrics,9
Eminem,Untitled,Recovery,http://genius.com/Eminem-untitled-lyrics,9
Eminem,Baby,The Marshall Mathers LP 2,http://genius.com/Eminem-baby-lyrics,9
Eminem,On Fire,Recovery,http://genius.com/Eminem-on-fire-lyrics,8
Eminem,Cinderella Man,Recovery,http://genius.com/Eminem-cinderella-man-lyrics,8
Eminem,Brainless,The Marshall Mathers LP 2,http://genius.com/Eminem-brainless-lyrics,8
Eminem,The Monster,The Marshall Mathers LP 2,http://genius.com/Eminem-the-monster-lyrics,8
Eminem,Marshall Mathers,The Marshall Mathers LP,http://genius.com/Eminem-marshall-mathers-lyrics,8
Eminem,Criminal,The Marshall Mathers LP,http://genius.com/Eminem-criminal-lyrics,8
Rihanna,Breakin' Dishes,Good Girl Gone Bad,http://genius.com/Rihanna-breakin-dishes-lyrics,11
Rihanna,Kisses Don't Lie,A Girl Like Me,http://genius.com/Rihanna-kisses-dont-lie-lyrics,10
Rihanna,Diamonds,Unapologetic,http://genius.com/Rihanna-diamonds-lyrics,8
Rihanna,The Last Time,Music Of The Sun,http://genius.com/Rihanna-the-last-time-lyrics,7
Rihanna,Cry,Good Girl Gone Bad,http://genius.com/Rihanna-cry-lyrics,7
Rihanna,Photographs,Rated R,http://genius.com/Rihanna-photographs-lyrics,6
Rihanna,No Love Allowed,Unapologetic,http://genius.com/Rihanna-no-love-allowed-lyrics,5
Rihanna,Watch N Learn,Talk That Talk,http://genius.com/Rihanna-watch-n-learn-lyrics,5
Rihanna,California King Bed,Loud,http://genius.com/Rihanna-california-king-bed-lyrics,5
Rihanna,Love Without Tragedy / Mother Mary,Unapologetic,http://genius.com/Rihanna-love-without-tragedy-mother-mary-lyrics,4
Rihanna,Lost In Paradise,Unapologetic,http://genius.com/Rihanna-lost-in-paradise-lyrics,4
Rihanna,Drunk On Love,Talk That Talk,http://genius.com/Rihanna-drunk-on-love-lyrics,4
Rihanna,Music Of The Sun,Music Of The Sun,http://genius.com/Rihanna-music-of-the-sun-lyrics,4
Rihanna,Fading,Loud,http://genius.com/Rihanna-fading-lyrics,4
Rihanna,Final Goodbye,A Girl Like Me,http://genius.com/Rihanna-final-goodbye-lyrics,4
Rihanna,Roc Me Out,Talk That Talk,http://genius.com/Rihanna-roc-me-out-lyrics,3
Rihanna,Fool In Love,Talk That Talk,http://genius.com/Rihanna-fool-in-love-lyrics,3
Rihanna,Russian Roulette,Rated R,http://genius.com/Rihanna-russian-roulette-lyrics,3
Rihanna,Fire Bomb,Rated R,http://genius.com/Rihanna-fire-bomb-lyrics,3
Rihanna,Cold Case Love,Rated R,http://genius.com/Rihanna-cold-case-love-lyrics,3
Kanye West,Blame Game,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-blame-game-lyrics,12
Kanye West,See Me Now,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-see-me-now-lyrics,9
Kanye West,Gorgeous,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-gorgeous-lyrics,8
Kanye West,Get Em High,The College Dropout,http://genius.com/Kanye-west-get-em-high-lyrics,7
Kanye West,I'm In It,Yeezus,http://genius.com/Kanye-west-im-in-it-lyrics,6
Kanye West,Monster,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-monster-lyrics,6
Kanye West,So Appalled,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-so-appalled-lyrics,6
Kanye West,Runaway,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-runaway-lyrics,6
Kanye West,Welcome To Heartbreak,808s & Heartbreak,http://genius.com/Kanye-west-welcome-to-heartbreak-lyrics,6
Kanye West,Power,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-power-lyrics,5
Kanye West,Gold Digger,Late Registration,http://genius.com/Kanye-west-gold-digger-lyrics,5
Kanye West,The New Workout Plan,The College Dropout,http://genius.com/Kanye-west-the-new-workout-plan-lyrics,5
Kanye West,Breathe In Breathe Out,The College Dropout,http://genius.com/Kanye-west-breathe-in-breathe-out-lyrics,5
Kanye West,New Slaves,Yeezus,http://genius.com/Kanye-west-new-slaves-lyrics,4
Kanye West,All Day,SWISH,http://genius.com/Kanye-west-all-day-lyrics,4
Kanye West,Devil in a New Dress,My Beautiful Dark Twisted Fantasy,http://genius.com/Kanye-west-devil-in-a-new-dress-lyrics,4
Kanye West,Good Life,Graduation,http://genius.com/Kanye-west-good-life-lyrics,4
Kanye West,Barry Bonds,Graduation,http://genius.com/Kanye-west-barry-bonds-lyrics,4
Kanye West,Big Brother,Graduation,http://genius.com/Kanye-west-big-brother-lyrics,4
Kanye West,Family Business,The College Dropout,http://genius.com/Kanye-west-family-business-lyrics,4
Taylor Swift,Last Kiss,Speak Now,http://genius.com/Taylor-swift-last-kiss-lyrics,8
Taylor Swift,Style,1989,http://genius.com/Taylor-swift-style-lyrics,7
Taylor Swift,Tim McGraw,Taylor Swift,http://genius.com/Taylor-swift-tim-mcgraw-lyrics,6
Taylor Swift,The Last Time,Red,http://genius.com/Taylor-swift-the-last-time-lyrics,5
Taylor Swift,Wildest Dreams,1989,http://genius.com/Taylor-swift-wildest-dreams-lyrics,5
Taylor Swift,Mary's Song (Oh My My My),Taylor Swift,http://genius.com/Taylor-swift-marys-song-oh-my-my-my-lyrics,4
Taylor Swift,Superstar,Fearless,http://genius.com/Taylor-swift-superstar-lyrics,4
Taylor Swift,Invisible,Taylor Swift,http://genius.com/Taylor-swift-invisible-lyrics,3
Taylor Swift,Sparks Fly,Speak Now,http://genius.com/Taylor-swift-sparks-fly-lyrics,3
Taylor Swift,Enchanted,Speak Now,http://genius.com/Taylor-swift-enchanted-lyrics,3
Taylor Swift,Long Live,Speak Now,http://genius.com/Taylor-swift-long-live-lyrics,3
Taylor Swift,Treacherous,Red,http://genius.com/Taylor-swift-treacherous-lyrics,3
Taylor Swift,Everything Has Changed,Red,http://genius.com/Taylor-swift-everything-has-changed-lyrics,3
Taylor Swift,The Moment I Knew,Red,http://genius.com/Taylor-swift-the-moment-i-knew-lyrics,3
Taylor Swift,Forever & Always (Piano Version),Fearless,http://genius.com/Taylor-swift-forever-and-always-piano-version-lyrics,3
Taylor Swift,Fearless,Fearless,http://genius.com/Taylor-swift-fearless-lyrics,3
Taylor Swift,Love Story,Fearless,http://genius.com/Taylor-swift-love-story-lyrics,3
Taylor Swift,Forever & Always,Fearless,http://genius.com/Taylor-swift-forever-and-always-lyrics,3
Taylor Swift,Blank Space,1989,http://genius.com/Taylor-swift-blank-space-lyrics,3
Taylor Swift,Wonderland,1989,http://genius.com/Taylor-swift-wonderland-lyrics,3
